idx,wrong,correct
0,4,0
1,4,0
12,2,0
13,4,0
14,4,0
18,4,0
19,4,0
25,4,0
26,4,0
31,4,0
37,4,0
39,5,0
40,4,0
52,5,0
58,3,0
59,5,0
60,2,0
62,3,0
63,5,0
64,3,0
65,4,0
70,5,0
74,4,0
75,4,0
80,5,0
82,5,0
89,5,0
90,4,0
92,3,0
93,2,0
104,5,0
105,5,0
106,3,0
108,4,0
110,5,0
111,5,0
112,5,0
113,5,0
114,5,0
115,5,0
118,2,0
131,4,0
135,2,0
143,4,0
156,5,0
158,4,0
160,4,0
163,5,0
165,4,0
166,4,0
167,5,0
168,4,0
169,5,0
175,3,0
179,3,1
181,2,1
182,3,1
185,3,1
186,3,1
188,4,1
189,0,1
190,0,1
191,4,1
199,3,2
202,3,2
206,3,2
210,3,2
211,3,2
212,3,2
231,0,3
235,0,3
280,0,3
286,4,3
322,5,3
323,5,3
324,5,3
346,4,3
347,0,3
367,4,3
385,2,3
410,2,3
425,0,3
495,0,4
496,0,4
497,5,4
499,3,4
500,5,4
502,5,4
503,3,4
518,3,4
522,0,4
523,0,4
524,3,4
525,0,4
537,3,4
538,3,4
540,5,4
541,5,4
542,5,4
545,0,4
546,2,4
547,5,4
553,2,4
554,5,4
555,5,4
556,3,4
557,3,4
560,2,4
564,5,4
565,5,4
566,5,4
569,5,4
579,5,4
595,5,4
596,0,4
597,0,4
604,5,4
607,3,4
608,0,4
609,5,4
610,0,4
615,0,4
626,3,4
627,2,4
634,2,4
644,5,4
647,3,4
652,5,4
653,5,4
655,3,4
657,3,4
664,5,4
671,0,4
672,0,4
673,0,4
681,3,4
683,5,4
685,5,4
696,3,4
699,5,4
700,2,4
701,5,4
702,5,4
710,3,4
711,0,4
712,0,4
720,5,4
721,3,4
726,5,4
727,0,4
728,0,4
729,0,4
739,3,4
741,3,4
745,3,4
746,2,4
747,0,4
760,3,4
761,3,4
762,0,4
763,5,4
766,5,4
767,5,4
768,5,4
773,0,4
776,5,4
779,5,4
783,3,4
789,3,4
790,3,4
791,5,4
792,5,4
793,5,4
794,5,4
795,5,4
796,5,4
797,3,4
799,5,4
801,1,4
802,3,4
808,0,4
810,3,4
812,5,4
813,5,4
814,5,4
815,5,4
820,0,4
823,5,4
824,1,4
825,0,4
826,0,4
827,0,4
828,2,4
830,2,4
836,5,4
837,5,4
840,3,4
843,5,4
844,5,4
845,5,4
846,5,4
847,0,4
849,3,4
859,5,4
860,5,4
868,5,4
869,5,4
870,5,4
874,3,4
876,5,4
883,5,4
885,0,4
886,0,4
887,0,4
888,0,4
889,0,4
890,0,4
891,0,4
907,2,4
908,0,4
910,5,4
912,0,4
914,0,5
915,0,5
917,0,5
918,0,5
919,0,5
920,0,5
921,0,5
922,2,5
923,3,5
924,3,5
927,3,5
928,4,5
930,2,5
931,4,5
932,4,5
933,4,5
934,4,5
936,4,5
937,4,5
939,3,5
944,3,5
946,4,5
948,3,5
950,4,5
953,4,5
955,3,5
956,3,5
974,4,5
975,0,5
981,4,5
982,4,5
983,4,5
984,4,5
988,4,5
989,2,5
990,3,5
992,3,5
993,3,5
1011,3,5
1020,4,5
1022,0,5
1023,0,5
1024,0,5
1025,0,5
1026,0,5
1027,0,5
1028,0,5
1029,4,5
1030,4,5
1031,3,5
1036,3,5
1037,3,5
1038,4,5
1048,3,5
1055,4,5
1057,3,5
1061,4,5
1062,4,5
1065,3,5
1069,3,5
1074,3,5
1076,3,5
1077,3,5
1078,3,5
1079,3,5
1080,3,5
1087,3,5
1090,4,5
1094,4,5
1098,2,5
1099,1,5
1100,4,5
1104,4,5
1105,3,5
1108,3,5
1109,3,5
1110,4,5
1111,3,5
1112,3,5
1113,4,5
1118,0,5
1126,0,5
1128,4,5
1129,4,5
1130,0,5
1131,0,5
1132,0,5
1133,0,5
1136,4,5
1138,4,5
1139,4,5
1157,0,5
1162,4,5
1163,4,5
1164,4,5
1168,4,5
1169,4,5
1170,4,5
1175,4,5
1177,3,5
1178,1,5
1179,1,5
1180,0,5
1181,0,5
1182,4,5
1184,0,5
1185,1,5
1186,3,5
1187,1,5
1189,4,5
1194,0,5
1195,0,5
1198,4,5
1199,4,5
1201,0,5
1202,0,5
1208,4,5
1214,4,5
1221,3,5
1222,4,5
1225,3,5
1226,3,5
1227,3,5
1228,3,5
1229,3,5
1232,2,5
1237,0,5
1238,2,5
1239,4,5
1241,4,5
1244,4,5
1245,2,5
1246,4,5
1247,4,5
