idx,wrong,correct
0,4,0
1,4,0
12,2,0
13,4,0
14,4,0
25,4,0
37,4,0
39,5,0
40,4,0
52,4,0
58,4,0
59,5,0
60,5,0
63,5,0
65,4,0
70,5,0
74,4,0
75,4,0
76,4,0
82,5,0
90,4,0
106,4,0
110,5,0
111,5,0
112,5,0
113,5,0
114,5,0
115,5,0
116,5,0
118,2,0
131,4,0
143,3,0
156,5,0
158,4,0
165,4,0
166,4,0
167,5,0
168,4,0
169,5,0
185,5,1
189,0,1
190,0,1
191,3,1
199,1,2
202,1,2
209,1,2
210,1,2
211,1,2
212,3,2
235,0,3
239,4,3
251,4,3
288,4,3
322,5,3
323,4,3
347,0,3
365,0,3
367,4,3
383,4,3
410,1,3
495,0,4
496,0,4
497,5,4
499,0,4
500,1,4
501,5,4
502,5,4
518,5,4
519,5,4
522,0,4
523,0,4
524,1,4
525,0,4
537,3,4
538,3,4
540,5,4
541,5,4
542,3,4
547,5,4
554,5,4
555,5,4
556,5,4
557,5,4
564,5,4
565,5,4
566,5,4
569,5,4
570,5,4
578,5,4
579,5,4
580,5,4
596,0,4
597,0,4
601,0,4
603,0,4
604,0,4
607,3,4
626,5,4
632,3,4
634,0,4
644,5,4
647,3,4
654,5,4
664,5,4
665,5,4
671,0,4
672,0,4
673,0,4
675,0,4
685,0,4
699,5,4
701,5,4
702,5,4
706,0,4
707,0,4
709,0,4
710,0,4
711,0,4
712,0,4
717,0,4
726,5,4
727,0,4
728,0,4
729,0,4
733,5,4
739,0,4
745,5,4
747,5,4
760,3,4
761,0,4
762,0,4
789,5,4
791,5,4
792,5,4
793,5,4
794,5,4
795,5,4
801,1,4
808,0,4
812,5,4
813,5,4
814,5,4
815,5,4
820,0,4
823,0,4
824,1,4
825,0,4
826,0,4
827,0,4
828,0,4
830,2,4
836,5,4
837,5,4
843,5,4
844,5,4
845,5,4
846,5,4
847,0,4
868,5,4
869,5,4
870,5,4
873,0,4
876,5,4
877,5,4
883,5,4
885,0,4
886,0,4
887,0,4
888,0,4
889,0,4
890,0,4
891,0,4
898,5,4
901,5,4
904,0,4
914,0,5
915,0,5
916,0,5
917,0,5
918,0,5
919,0,5
920,0,5
921,0,5
922,0,5
923,0,5
927,2,5
928,4,5
930,3,5
931,4,5
932,4,5
933,4,5
939,3,5
950,4,5
953,4,5
956,0,5
974,4,5
983,4,5
986,4,5
988,4,5
989,0,5
1011,3,5
1022,0,5
1023,0,5
1024,0,5
1025,0,5
1026,0,5
1027,0,5
1028,0,5
1029,4,5
1030,4,5
1031,4,5
1036,3,5
1038,4,5
1041,4,5
1048,4,5
1055,0,5
1080,3,5
1087,4,5
1095,3,5
1100,4,5
1109,3,5
1110,4,5
1113,4,5
1118,0,5
1125,3,5
1126,0,5
1128,4,5
1129,0,5
1130,0,5
1131,0,5
1132,0,5
1133,0,5
1136,4,5
1137,4,5
1138,4,5
1139,4,5
1140,0,5
1162,4,5
1164,4,5
1168,4,5
1170,4,5
1174,1,5
1175,4,5
1177,3,5
1178,1,5
1179,1,5
1180,0,5
1181,0,5
1182,4,5
1184,0,5
1185,1,5
1186,1,5
1187,1,5
1194,0,5
1195,0,5
1196,4,5
1197,0,5
1198,0,5
1199,4,5
1202,0,5
1206,4,5
1208,4,5
1221,3,5
1232,0,5
1236,0,5
1237,0,5
1238,0,5
1239,4,5
1245,4,5
1246,4,5
1247,4,5
